"时间戳记","your username !","your birthday wish for dream !"
"2025/08/04 12:30:50 上午 GMT+8","cher_was_here","happy birthday dream! i can’t believe it’s already been a year since you turned 25, we love you so much and we’re so excited to see what you do in your future!! happy birthday :]"
"2025/08/04 12:39:16 上午 GMT+8","@Liza_beeza","Health and happiness :-)"
"2025/08/04 1:09:04 上午 GMT+8","JuneBug_1320","Happy Birthday Dream! You have genuinely saved my life and helped me make so many friends throughout the years! Most of my best friends I’ve met bonding over your content or through it. Thank you for everything you’ve done and are still doing. You’ve truely changed my life! Happy birthday man!"
"2025/08/04 1:16:52 上午 GMT+8","sidney_starss","HAPPY BIRTHDAY DREAM!! ❤️:D"
"2025/08/04 1:17:42 上午 GMT+8","fl0wers4dwt","I wish he has an amazing day with the people he loves<3 and that this year brings more incredible stuff to him! Live your life to the fullest and never give up ❤️"
"2025/08/04 1:21:34 上午 GMT+8","_Devildogs","(Don’t include this part but THIS IS NOT A DEATHTHREAT lmao its something people say I swear)One more year closer to death, Happy birthday Dream "
"2025/08/04 1:39:03 上午 GMT+8","SarinaLucas","Share this birthday with your love ones, included you, have a good time, start new goal with a flaming passion because with all the thing you have done for us, we appreciate all of them, thank you so much and we are looking forward to the next big thing"
"2025/08/04 2:10:41 上午 GMT+8","koffeekeaton","I eated patches"
"2025/08/04 2:43:55 上午 GMT+8","AshDoesDraw_","Happy birthday Dream!! You and your friends have changed my life completely just by being yourselves so i forever appriciate you for that. Party hard and enjoy your day 🫶💚"
"2025/08/04 4:10:26 上午 GMT+8","katispogg","happy birthday dream!! :] hope this year brings you hope and laughter and we love you so so much 💚💚"
"2025/08/04 4:11:54 上午 GMT+8","nekilla_","Happy Birthday Dream! You're both an incredible person and content creator, I'm always amazed by your creative talent! I'm glad I discovered the Dream Team because you've been there for me through tough times, and I've had the time of my life watching your videos. You deserve the world!"
"2025/08/04 4:13:01 上午 GMT+8","1arkspurdreams","i hope you have an amazing day with your loved ones <3"
"2025/08/04 4:13:12 上午 GMT+8","mezanineonline","Happy Birthday Dungle! :)"
"2025/08/04 4:23:15 上午 GMT+8","zizi_green","happy birthday Dream!💚 may the world treat you kind and all of your great ideas and projects come to live! we really appreciate you and your creative works! thank you for being you 💚"
"2025/08/04 4:24:48 上午 GMT+8","gnfspetrichor","i don't have much of a wish, except that he is healthy and happy and has the absolute best day for his 26th! i hope he never forgets how deeply surrounded by love and support he is, not just by his friends and family, but by us fans too!"
"2025/08/04 4:36:41 上午 GMT+8","l1zzy_q","Happy birthday Dream!! Thank you for everything and I hope you have the happiest of birthdays!🤍"
"2025/08/04 5:10:37 上午 GMT+8","realrazputin","Happy 26th birthday dream! You’re one of my favourite creators from minecraft skill to editing style to lovely personality. It’s gonna be so sad when you… yknow 😕 Jokes aside hope u have the best birthday !!"
"2025/08/04 5:26:34 上午 GMT+8","Glimmerdjh ","HAPPY BIRTHDAY DREAM, i hope you have a great day and get to relax as little or as much as you want to. i also hope you can spend your bday with the people you love the most. ILY💚"
"2025/08/04 5:33:09 上午 GMT+8","Nymphiou","Hi dream!! Happy birthday :) Wishing you the best. Hope this next year in your life will be good for you and people that you love the most. Take care ! Can't wait to see more of your projects."
"2025/08/04 5:44:55 上午 GMT+8","Sam_SlaysAllDay","a drama free life for now on cause you don’t deserve it king 🫡 "
"2025/08/04 6:06:14 上午 GMT+8","virtuaIangeI4u","for him to be happy all the time <3"
"2025/08/04 6:07:41 上午 GMT+8","yumiidrmz","HAPPY BIRTHDAY POOKS ! ! !"
"2025/08/04 6:09:25 上午 GMT+8","echopraxes","Happy Birthday!!!! I hope you have an awesome time with your family (SNF included) and friends! Thank you for everything that you do!!"
"2025/08/04 6:17:03 上午 GMT+8","dteamluvz","Happy birthday Dream!! We love you so much and wish you the best ‪♡ Happy 26th birthday old man"
"2025/08/04 6:52:50 上午 GMT+8","skippyyayy","i wish he gets a ferret HAPPY BIRTHDAY YAYYY"
"2025/08/04 7:11:23 上午 GMT+8","Heliumcore","Happy 40th please don’t go bald and you know… jk I hope 26 treats you well <3 good luck dream !! Love u lots"
"2025/08/04 7:32:21 上午 GMT+8","Amidwt ","Happy birthday dream!!!!!!! I really enjoy your content and you’ve helped me thru so much!!"
"2025/08/04 7:41:20 上午 GMT+8","themindofjojo","happy birthday dream!! here's to another amazing year and to being 26. congrats on being even older lol. hope you have an amazing day and hope this year treats you kindly! "
"2025/08/04 7:46:29 上午 GMT+8","XdFrisha","HELLO DREAM, HAPPY BIRTHDAY! I hope you do very well with your family and friends, I wish you the best from Peru and I look forward to your future projects knowing that you have done it with your audience in mind, you are a great inspiration to me, thanks to you I have been motivated to draw, Never I will be able to thank you so many times for seeing you known and I hope you last longer on the internet :D  Atte: a fan of yours "
"2025/08/04 8:02:10 上午 GMT+8","sugardrm","Happy Birthday, Dream! thanks for all the laughs and epic moments hope you have an amazing day!"
"2025/08/04 8:07:36 上午 GMT+8","gnfsdrmie","for dream to know how loved and special he is, and how many lives he has changed for the better <3"
"2025/08/04 8:09:04 上午 GMT+8","xodreamie ","for dream to have the best day and know how loved he is!!!!!"
"2025/08/04 8:11:49 上午 GMT+8","@/Blahnap","Happy 26 birthday! Pushing 30 now…26 should be one of the best years for you <3"
"2025/08/04 8:14:05 上午 GMT+8","drmtobes","Happy birthday Dream! I wish you all the happiness, laughter, and love in the world, you deserve it all. You’re such a caring and kind soul and I really hope you know that:) Happy birthday again!!🎉🫂💚💚"
"2025/08/04 10:47:12 上午 GMT+8","Perca","hey man happy birthday i hope stuff works out for you and you live a happy healthy life"
"2025/08/04 11:01:04 上午 GMT+8","SageWithDaWings ","HAPPY BIRTHDAY DREAM!! KEEP BEING AWESOME SAUCE FOREVER "
"2025/08/04 11:43:34 上午 GMT+8","fayewoodss","I hope you continue doing nore collabs within the Minecraft community! I love seeing you open up and embrace everyone! I hope 26 treats you well! 💚🩵🧡"
"2025/08/04 12:42:14 下午 GMT+8","rae^^","hi dream:) i just recently got back into the fandom and i’m glad that i did. i just want to say thank you so much (for a lot of things). hope you’re doing good, and continue to make the content that you love and have passion in. happy birthday!<3"
"2025/08/04 12:48:36 下午 GMT+8","drmsism","i wish that he can go at least 5 months without being sick! but i also want to thank him for being here for all of us and basically cheering me up when im feeling down :) "
"2025/08/04 1:08:03 下午 GMT+8","IkarirMC","I wish Dream in the future will still making creative content like now,and wish Dream can being friends with good person,not using his fame for clout."
"2025/08/04 1:12:51 下午 GMT+8","@katy_bait8","A big deserved rest <3"
"2025/08/04 1:18:38 下午 GMT+8","sqbriii","happy birthday vro🙏"
"2025/08/04 1:35:01 下午 GMT+8","GhostedVt","Dream I wish you loads of happiness with everything you want to achieve in creating the Titansmp and form lots of new friendships with people that get on there!! Much love king 💚"
"2025/08/04 1:37:53 下午 GMT+8","@skatersapnap","happy birthday dream!! i wish you all the happiness in the world, sending you all my love! i love you so much <3"
"2025/08/04 2:13:01 下午 GMT+8","dreamy_life1","Happy birthday Dream! I hope you have an amazing day spent with the ones you love the most i wish for you to be happy and healthy! Happy birthday once again 🫶"
"2025/08/04 4:44:08 下午 GMT+8","prettiest_dream","I wish dream has the loveliest birthday surrounded by the people that care about him, i hope that he always feels loved and content, and may the love that he gives out come back to him tenfold."
"2025/08/04 6:04:28 下午 GMT+8","@Katervois","Happy birthday Dream!!! Thank you for everything you do! Much love 🫶🫶🫶"
"2025/08/04 8:03:38 下午 GMT+8","gnfonlyfans","I HOPE YOU HAVE THE BEST BIRTHDAY EVER SURROUNDED BY EVERYONE YOU LOVE (obviously George but I guess sapnap and fart are important as well..) anyways.. HAPPY 26TH!!!!!!! 🥳✨🎉🎁"
"2025/08/04 9:47:55 下午 GMT+8","_Kazoo__","May this next year be better than ever! Happy Birthday, Dream!"
"2025/08/04 11:30:55 下午 GMT+8","p0tatonotfound","HAPPY BIRTHDAY YOU OLD MAN :))))) jk lolz "
"2025/08/04 11:41:15 下午 GMT+8","Moonwasgone","I wish Dream had a wonderful/joyfilled birthday!! <3 (Dream stop getting old mate 🥲)"
"2025/08/04 11:53:37 下午 GMT+8","@M0on_loverss","i hope you have an AMAZING birthday, you seriously deserve it with everything you’ve been going through the past few years ❤️ hope you have the best birthday 🫶🏻🫶🏻🫶🏻"
"2025/08/05 2:31:30 上午 GMT+8","ilovepeepos","I wish Dream the best, that in the coming months and years he can live happily doing what he loves the most, that the false allegations no longer harm his career, and that he can be happy with his loved ones"
"2025/08/05 4:49:16 上午 GMT+8","dave_the_blob","Hi Dream! I hope you have a wonderful 26th birthday with your friends and family, stay safe and healthy and try fixing your sleep schedule!!"
"2025/08/05 6:10:30 上午 GMT+8","beesay","happy birthday dream! i hope its a good one :)"
"2025/08/05 6:24:47 上午 GMT+8","Sp4ce_Cadetz ","Happy 26th birthday Dream!!"
"2025/08/05 9:26:04 上午 GMT+8","Wafflefries0505","Happy birthday Dream! I hope you have an amazing year full of laughter and happiness with your friends and family!! :)"
"2025/08/05 3:53:04 下午 GMT+8","zoecamehome","happy birthday dream! i hope 26 treats you well <3 i’ve been a fan for 5 years now and it’s been amazing watching you grow and create so many unforgettable moments. thank you for everything you’ve shared with us—your content, your creativity, and just being you. here’s to another great year 💚 love you lots!"
